material_id,name,category,supplier_id,unit_cost
135,Labels Grade 135,Packaging,19,4.75
136,Metal Cans Grade 136,Packaging,19,5.96
137,Labels Grade 137,Packaging,2,9.51
138,Cardboard Grade 138,Packaging,2,2.77
139,Cardboard Grade 139,Packaging,3,9.81
140,Plastic Film Grade 140,Packaging,7,2.43
141,Glass Bottles Grade 141,Packaging,11,4.77
142,Metal Cans Grade 142,Packaging,1,8.67
143,Cardboard Grade 143,Packaging,2,4.69
144,Metal Cans Grade 144,Packaging,14,8.07
145,Metal Cans Grade 145,Packaging,18,9.72
146,Plastic Film Grade 146,Packaging,8,5.18
147,Glass Bottles Grade 147,Packaging,11,8.03
148,Glass Bottles Grade 148,Packaging,19,4.39
149,Metal Cans Grade 149,Packaging,4,7.72
150,Metal Cans Grade 150,Packaging,2,7.83
151,Plastic Film Grade 151,Packaging,3,5.11
152,Glass Bottles Grade 152,Packaging,15,7.31
153,Cardboard Grade 153,Packaging,11,2.17
154,Plastic Film Grade 154,Packaging,5,2.03
155,Plastic Film Grade 155,Packaging,10,6.0
156,Plastic Film Grade 156,Packaging,1,7.63
157,Cardboard Grade 157,Packaging,3,0.55
158,Metal Cans Grade 158,Packaging,11,3.04
159,Cardboard Grade 159,Packaging,8,6.68
160,Metal Cans Grade 160,Packaging,17,3.12
161,Brass Grade 161,Metals,20,59.26
162,Brass Grade 162,Metals,17,22.54
163,Steel Grade 163,Metals,16,88.14
164,Titanium Grade 164,Metals,17,30.14
165,Brass Grade 165,Metals,1,89.25
166,Titanium Grade 166,Metals,9,71.42
167,Aluminum Grade 167,Metals,19,170.42
168,Aluminum Grade 168,Metals,8,98.89
169,Copper Grade 169,Metals,5,84.88
170,Brass Grade 170,Metals,8,92.34
171,Brass Grade 171,Metals,12,170.98
172,Brass Grade 172,Metals,5,157.56
173,Steel Grade 173,Metals,3,60.69
174,Copper Grade 174,Metals,13,51.93
175,Aluminum Grade 175,Metals,14,131.08
176,Titanium Grade 176,Metals,10,45.25
177,Steel Grade 177,Metals,3,61.46
178,Brass Grade 178,Metals,15,73.59
179,Aluminum Grade 179,Metals,14,81.81
180,Brass Grade 180,Metals,1,167.5
181,Aluminum Grade 181,Metals,5,36.55
182,Brass Grade 182,Metals,15,80.91
183,Steel Grade 183,Metals,19,93.67
184,Aluminum Grade 184,Metals,16,168.27
185,Steel Grade 185,Metals,6,79.41
186,Brass Grade 186,Metals,11,183.06
187,Aluminum Grade 187,Metals,19,148.97
188,Brass Grade 188,Metals,19,190.82
189,Aluminum Grade 189,Metals,20,62.34
190,Titanium Grade 190,Metals,2,171.77
191,Titanium Grade 191,Metals,5,179.39
192,Copper Grade 192,Metals,14,99.42
193,Copper Grade 193,Metals,2,96.94
194,Aluminum Grade 194,Metals,4,32.66
195,Titanium Grade 195,Metals,6,92.03
196,Titanium Grade 196,Metals,4,26.67
197,Copper Grade 197,Metals,9,47.24
198,Steel Grade 198,Metals,18,69.94
199,Titanium Grade 199,Metals,6,99.99
200,Steel Grade 200,Metals,11,116.79
