purchase_id,owner_id,material_id,quantity,date
44,45,193,902,2023-12-14 18:09:39.734305
45,29,142,6957,2023-12-14 18:09:39.734305
46,61,81,3019,2023-12-14 18:09:39.734305
47,58,89,2082,2023-12-14 18:09:39.734305
48,82,46,8521,2023-12-15 18:09:39.734305
49,68,83,1830,2023-12-15 18:09:39.734305
50,35,84,8231,2023-12-15 18:09:39.734305
51,38,177,7450,2023-12-15 18:09:39.734305
52,65,121,2268,2023-12-15 18:09:39.734305
53,56,158,6128,2023-12-15 18:09:39.734305
54,92,85,2658,2023-12-15 18:09:39.734305
55,58,126,7974,2023-12-16 18:09:39.734305
56,18,160,4294,2023-12-16 18:09:39.734305
57,69,130,5573,2023-12-16 18:09:39.734305
58,64,130,4989,2023-12-16 18:09:39.734305
59,39,174,1839,2023-12-16 18:09:39.734305
60,60,87,3144,2023-12-16 18:09:39.734305
61,85,122,8891,2023-12-16 18:09:39.734305
62,37,109,2598,2023-12-16 18:09:39.734305
63,43,193,9844,2023-12-16 18:09:39.734305
64,54,178,5338,2023-12-16 18:09:39.734305
65,30,8,7915,2023-12-17 18:09:39.734305
66,57,127,8807,2023-12-17 18:09:39.734305
67,46,66,5003,2023-12-17 18:09:39.734305
68,47,187,8483,2023-12-17 18:09:39.734305
69,99,141,2453,2023-12-18 18:09:39.734305
70,40,190,2603,2023-12-18 18:09:39.734305
71,5,140,2752,2023-12-18 18:09:39.734305
72,38,152,4289,2023-12-18 18:09:39.734305
73,32,177,8168,2023-12-18 18:09:39.734305
74,51,133,7757,2023-12-18 18:09:39.734305
75,3,68,4140,2023-12-18 18:09:39.734305
76,17,152,1839,2023-12-18 18:09:39.734305
77,83,29,7177,2023-12-18 18:09:39.734305
78,96,155,6166,2023-12-19 18:09:39.734305
79,59,130,5634,2023-12-19 18:09:39.734305
80,90,40,7116,2023-12-19 18:09:39.734305
81,59,59,4295,2023-12-19 18:09:39.734305
82,62,87,3116,2023-12-20 18:09:39.734305
83,31,167,2233,2023-12-20 18:09:39.734305
84,65,144,1738,2023-12-20 18:09:39.734305
85,65,178,3400,2023-12-20 18:09:39.734305
86,77,114,9076,2023-12-20 18:09:39.734305
87,87,156,5079,2023-12-20 18:09:39.734305
88,52,134,9824,2023-12-20 18:09:39.734305
89,12,128,3810,2023-12-21 18:09:39.734305
90,77,143,623,2023-12-21 18:09:39.734305
91,40,128,596,2023-12-21 18:09:39.734305
92,57,98,7678,2023-12-21 18:09:39.734305
93,9,153,4472,2023-12-21 18:09:39.734305
94,83,23,6823,2023-12-21 18:09:39.734305
95,34,123,5940,2023-12-22 18:09:39.734305
96,78,85,4516,2023-12-22 18:09:39.734305
97,91,10,8858,2023-12-22 18:09:39.734305
98,32,179,2165,2023-12-23 18:09:39.734305
99,64,158,2113,2023-12-23 18:09:39.734305
100,27,126,986,2023-12-23 18:09:39.734305
101,29,4,7865,2023-12-23 18:09:39.734305
102,43,142,973,2023-12-23 18:09:39.734305
103,95,171,2475,2023-12-23 18:09:39.734305
104,49,32,3566,2023-12-23 18:09:39.734305
105,100,147,6590,2023-12-24 18:09:39.734305
106,13,141,347,2023-12-24 18:09:39.734305
107,36,113,1794,2023-12-24 18:09:39.734305
108,58,131,1189,2023-12-24 18:09:39.734305
109,29,146,8209,2023-12-24 18:09:39.734305
110,89,122,9244,2023-12-24 18:09:39.734305
111,50,145,4000,2023-12-25 18:09:39.734305
112,35,87,7274,2023-12-25 18:09:39.734305
113,60,135,980,2023-12-26 18:09:39.734305
114,11,1,1151,2023-12-26 18:09:39.734305
115,46,63,1907,2023-12-26 18:09:39.734305
116,70,62,5226,2023-12-26 18:09:39.734305
117,97,27,9520,2023-12-26 18:09:39.734305
118,32,168,6497,2023-12-27 18:09:39.734305
119,83,1,257,2023-12-27 18:09:39.734305
120,71,138,5867,2023-12-27 18:09:39.734305
121,69,145,3519,2023-12-27 18:09:39.734305
122,82,74,7578,2023-12-27 18:09:39.734305
123,66,129,3341,2023-12-27 18:09:39.734305
124,37,122,7138,2023-12-27 18:09:39.734305
125,69,79,9638,2023-12-27 18:09:39.734305
126,38,165,7187,2023-12-27 18:09:39.734305
127,29,126,8083,2023-12-28 18:09:39.734305
128,95,144,4265,2023-12-28 18:09:39.734305
129,40,129,6502,2023-12-28 18:09:39.734305
130,34,110,4407,2023-12-28 18:09:39.734305
131,53,158,3798,2023-12-28 18:09:39.734305
132,90,11,1777,2023-12-28 18:09:39.734305
133,63,150,432,2023-12-28 18:09:39.734305
134,92,141,775,2023-12-29 18:09:39.734305
135,75,156,8036,2023-12-29 18:09:39.734305
136,56,114,8813,2023-12-30 18:09:39.734305
137,4,151,4806,2023-12-30 18:09:39.734305
138,55,91,3150,2023-12-30 18:09:39.734305
139,39,169,7368,2023-12-30 18:09:39.734305
140,44,100,5700,2023-12-31 18:09:39.734305
141,41,127,329,2023-12-31 18:09:39.734305
142,42,136,3582,2023-12-31 18:09:39.734305
143,77,110,3040,2023-12-31 18:09:39.734305
144,28,176,7149,2023-12-31 18:09:39.734305
145,24,92,3475,2023-12-31 18:09:39.734305
146,2,69,9189,2024-01-01 18:09:39.734305
147,48,150,1161,2024-01-01 18:09:39.734305
148,86,122,5329,2024-01-01 18:09:39.734305
149,69,155,8601,2024-01-01 18:09:39.734305
150,91,37,5817,2024-01-01 18:09:39.734305
151,100,153,6818,2024-01-02 18:09:39.734305
152,48,86,4333,2024-01-02 18:09:39.734305
153,25,55,3556,2024-01-02 18:09:39.734305
154,58,90,3873,2024-01-03 18:09:39.734305
155,94,34,9938,2024-01-03 18:09:39.734305
156,39,195,7829,2024-01-03 18:09:39.734305
157,85,119,3403,2024-01-03 18:09:39.734305
158,1,165,4364,2024-01-03 18:09:39.734305
159,50,95,4727,2024-01-04 18:09:39.734305
160,44,91,1170,2024-01-04 18:09:39.734305
161,96,124,4999,2024-01-04 18:09:39.734305
162,16,20,8751,2024-01-04 18:09:39.734305
163,21,129,1637,2024-01-04 18:09:39.734305
164,64,86,3080,2024-01-04 18:09:39.734305
165,26,148,5047,2024-01-04 18:09:39.734305
166,95,144,9868,2024-01-04 18:09:39.734305
167,66,39,8512,2024-01-04 18:09:39.734305
168,97,159,8843,2024-01-04 18:09:39.734305
169,98,93,1460,2024-01-04 18:09:39.734305
170,42,157,4374,2024-01-05 18:09:39.734305
171,35,154,1880,2024-01-05 18:09:39.734305
172,87,163,5968,2024-01-05 18:09:39.734305
173,35,152,7584,2024-01-06 18:09:39.734305
174,66,24,8823,2024-01-06 18:09:39.734305
175,43,143,8670,2024-01-06 18:09:39.734305
176,43,66,9087,2024-01-06 18:09:39.734305
177,74,82,4543,2024-01-06 18:09:39.734305
178,92,127,1540,2024-01-06 18:09:39.734305
179,17,124,5147,2024-01-06 18:09:39.734305
180,68,122,6578,2024-01-06 18:09:39.734305
181,70,199,1344,2024-01-06 18:09:39.734305
182,57,135,877,2024-01-07 18:09:39.734305
183,85,121,5073,2024-01-07 18:09:39.734305
184,88,12,8366,2024-01-07 18:09:39.734305
185,44,136,131,2024-01-07 18:09:39.734305
186,32,139,1584,2024-01-08 18:09:39.734305
187,96,88,1577,2024-01-08 18:09:39.734305
188,21,153,3414,2024-01-08 18:09:39.734305
189,11,129,3541,2024-01-08 18:09:39.734305
190,35,108,4647,2024-01-08 18:09:39.734305
191,96,156,7289,2024-01-08 18:09:39.734305
192,86,83,6804,2024-01-08 18:09:39.734305
193,72,144,9223,2024-01-09 18:09:39.734305
194,19,59,9476,2024-01-09 18:09:39.734305
195,48,93,7048,2024-01-09 18:09:39.734305
196,39,26,5089,2024-01-09 18:09:39.734305
197,61,106,3355,2024-01-09 18:09:39.734305
198,35,137,353,2024-01-09 18:09:39.734305
199,93,153,1978,2024-01-10 18:09:39.734305
200,63,156,9618,2024-01-10 18:09:39.734305
201,6,155,8945,2024-01-10 18:09:39.734305
202,2,187,4765,2024-01-10 18:09:39.734305
203,1,68,9955,2024-01-10 18:09:39.734305
204,32,66,3729,2024-01-10 18:09:39.734305
205,93,181,5988,2024-01-10 18:09:39.734305
206,13,7,6588,2024-01-10 18:09:39.734305
207,83,191,3451,2024-01-10 18:09:39.734305
208,5,32,3872,2024-01-11 18:09:39.734305
209,31,171,7651,2024-01-11 18:09:39.734305
210,96,143,836,2024-01-11 18:09:39.734305
211,20,146,3679,2024-01-11 18:09:39.734305
212,2,75,9800,2024-01-11 18:09:39.734305
213,10,123,4136,2024-01-11 18:09:39.734305
214,21,105,3463,2024-01-12 18:09:39.734305
215,77,93,3216,2024-01-12 18:09:39.734305
216,21,134,715,2024-01-12 18:09:39.734305
217,11,38,552,2024-01-12 18:09:39.734305
218,41,39,7591,2024-01-12 18:09:39.734305
219,22,157,8486,2024-01-12 18:09:39.734305
220,69,136,8721,2024-01-13 18:09:39.734305
221,97,23,6990,2024-01-13 18:09:39.734305
222,92,134,5228,2024-01-13 18:09:39.734305
223,20,17,3340,2024-01-13 18:09:39.734305
224,24,101,9824,2024-01-13 18:09:39.734305
225,97,160,9721,2024-01-13 18:09:39.734305
226,6,19,3628,2024-01-13 18:09:39.734305
227,5,153,8700,2024-01-13 18:09:39.734305
228,70,71,800,2024-01-13 18:09:39.734305
229,14,153,8462,2024-01-13 18:09:39.734305
230,2,159,5119,2024-01-14 18:09:39.734305
231,46,179,7107,2024-01-14 18:09:39.734305
232,36,126,1742,2024-01-14 18:09:39.734305
233,4,64,3985,2024-01-15 18:09:39.734305
234,96,86,2249,2024-01-15 18:09:39.734305
235,69,150,8179,2024-01-15 18:09:39.734305
236,37,134,625,2024-01-15 18:09:39.734305
237,26,145,8352,2024-01-15 18:09:39.734305
238,71,131,1633,2024-01-16 18:09:39.734305
239,84,122,8253,2024-01-16 18:09:39.734305
240,15,128,9215,2024-01-16 18:09:39.734305
241,85,105,3348,2024-01-17 18:09:39.734305
242,49,147,1452,2024-01-17 18:09:39.734305
243,52,143,3936,2024-01-17 18:09:39.734305
244,78,159,872,2024-01-17 18:09:39.734305
245,84,137,7636,2024-01-17 18:09:39.734305
246,96,85,3153,2024-01-17 18:09:39.734305
247,68,153,7741,2024-01-17 18:09:39.734305
248,20,13,4736,2024-01-17 18:09:39.734305
249,94,134,186,2024-01-17 18:09:39.734305
250,40,164,7474,2024-01-17 18:09:39.734305
251,78,160,5928,2024-01-17 18:09:39.734305
252,38,11,8458,2024-01-17 18:09:39.734305
253,8,129,5147,2024-01-18 18:09:39.734305
254,4,172,5938,2024-01-18 18:09:39.734305
255,83,193,9926,2024-01-18 18:09:39.734305
256,81,97,7795,2024-01-18 18:09:39.734305
257,41,38,1038,2024-01-18 18:09:39.734305
258,81,152,5136,2024-01-18 18:09:39.734305
259,49,39,2112,2024-01-18 18:09:39.734305
260,38,161,9270,2024-01-18 18:09:39.734305
261,34,104,102,2024-01-18 18:09:39.734305
262,50,157,8842,2024-01-19 18:09:39.734305
263,35,95,5307,2024-01-19 18:09:39.734305
264,5,136,3454,2024-01-19 18:09:39.734305
265,43,178,4368,2024-01-20 18:09:39.734305
266,53,88,8630,2024-01-20 18:09:39.734305
267,96,155,1848,2024-01-20 18:09:39.734305
268,64,103,7570,2024-01-20 18:09:39.734305
269,18,146,1926,2024-01-20 18:09:39.734305
270,51,122,331,2024-01-20 18:09:39.734305
271,4,164,9778,2024-01-20 18:09:39.734305
272,63,3,1271,2024-01-20 18:09:39.734305
273,22,141,245,2024-01-20 18:09:39.734305
274,86,112,8718,2024-01-20 18:09:39.734305
275,82,69,6100,2024-01-21 18:09:39.734305
276,40,192,6107,2024-01-21 18:09:39.734305
277,94,122,931,2024-01-21 18:09:39.734305
278,45,191,3478,2024-01-21 18:09:39.734305
279,80,113,7530,2024-01-21 18:09:39.734305
280,42,89,4186,2024-01-22 18:09:39.734305
281,59,184,6852,2024-01-22 18:09:39.734305
282,97,131,7917,2024-01-22 18:09:39.734305
283,17,19,3625,2024-01-22 18:09:39.734305
284,61,156,4466,2024-01-22 18:09:39.734305
285,96,99,7514,2024-01-23 18:09:39.734305
286,5,181,6964,2024-01-23 18:09:39.734305
287,28,38,536,2024-01-23 18:09:39.734305
288,59,55,6598,2024-01-23 18:09:39.734305
289,16,22,5893,2024-01-23 18:09:39.734305
290,77,109,3143,2024-01-23 18:09:39.734305
291,82,129,9892,2024-01-23 18:09:39.734305
292,60,114,9378,2024-01-24 18:09:39.734305
293,53,102,637,2024-01-24 18:09:39.734305
294,41,20,5234,2024-01-24 18:09:39.734305
295,96,93,1807,2024-01-24 18:09:39.734305
296,35,95,693,2024-01-24 18:09:39.734305
297,33,156,6378,2024-01-24 18:09:39.734305
298,42,106,9433,2024-01-24 18:09:39.734305
299,57,84,5369,2024-01-25 18:09:39.734305
300,30,24,6354,2024-01-25 18:09:39.734305
301,1,53,9383,2024-01-25 18:09:39.734305
302,12,147,302,2024-01-25 18:09:39.734305
303,52,110,8191,2024-01-25 18:09:39.734305
304,31,180,7809,2024-01-25 18:09:39.734305
305,33,102,2332,2024-01-25 18:09:39.734305
306,14,102,8837,2024-01-25 18:09:39.734305
307,19,142,2663,2024-01-25 18:09:39.734305
308,3,44,2877,2024-01-26 18:09:39.734305
309,48,101,8800,2024-01-26 18:09:39.734305
310,83,13,6728,2024-01-26 18:09:39.734305
311,60,112,6335,2024-01-26 18:09:39.734305
312,19,127,2242,2024-01-26 18:09:39.734305
313,13,15,4029,2024-01-26 18:09:39.734305
314,50,86,4824,2024-01-26 18:09:39.734305
315,45,167,308,2024-01-26 18:09:39.734305
316,36,111,8499,2024-01-26 18:09:39.734305
317,12,177,4875,2024-01-26 18:09:39.734305
318,29,151,2979,2024-01-26 18:09:39.734305
319,32,72,3814,2024-01-27 18:09:39.734305
320,1,188,9514,2024-01-27 18:09:39.734305
321,21,153,692,2024-01-27 18:09:39.734305
322,1,68,3450,2024-01-27 18:09:39.734305
323,85,116,9071,2024-01-27 18:09:39.734305
324,32,153,8765,2024-01-27 18:09:39.734305
325,55,122,7663,2024-01-27 18:09:39.734305
326,11,24,2621,2024-01-27 18:09:39.734305
327,52,81,5436,2024-01-27 18:09:39.734305
328,2,56,5261,2024-01-27 18:09:39.734305
329,98,127,2725,2024-01-28 18:09:39.734305
330,49,15,7977,2024-01-28 18:09:39.734305
331,14,155,9326,2024-01-28 18:09:39.734305
332,9,5,8044,2024-01-28 18:09:39.734305
333,87,136,9787,2024-01-29 18:09:39.734305
334,14,139,2454,2024-01-29 18:09:39.734305
335,70,132,3739,2024-01-29 18:09:39.734305
336,13,158,7772,2024-01-29 18:09:39.734305
337,72,34,1748,2024-01-29 18:09:39.734305
338,31,183,4937,2024-01-29 18:09:39.734305
339,22,32,5818,2024-01-29 18:09:39.734305
340,94,16,8060,2024-01-30 18:09:39.734305
341,58,121,2140,2024-01-30 18:09:39.734305
342,5,1,6442,2024-01-30 18:09:39.734305
343,78,124,6438,2024-01-30 18:09:39.734305
344,13,29,302,2024-01-30 18:09:39.734305
345,62,109,5275,2024-01-30 18:09:39.734305
346,31,66,1717,2024-01-30 18:09:39.734305
347,96,100,5843,2024-01-30 18:09:39.734305
348,70,74,3905,2024-01-30 18:09:39.734305
349,12,132,5584,2024-01-30 18:09:39.734305
350,12,126,7672,2024-01-31 18:09:39.734305
351,5,128,3727,2024-01-31 18:09:39.734305
352,51,138,4215,2024-01-31 18:09:39.734305
353,17,10,8618,2024-01-31 18:09:39.734305
354,56,92,3792,2024-01-31 18:09:39.734305
355,26,29,6956,2024-01-31 18:09:39.734305
356,93,151,6750,2024-01-31 18:09:39.734305
357,90,37,5597,2024-01-31 18:09:39.734305
358,10,150,4284,2024-01-31 18:09:39.734305
359,95,76,6779,2024-02-01 18:09:39.734305
360,71,135,3512,2024-02-01 18:09:39.734305
361,76,84,9230,2024-02-01 18:09:39.734305
362,14,91,7446,2024-02-01 18:09:39.734305
363,25,71,9501,2024-02-01 18:09:39.734305
364,41,145,1771,2024-02-01 18:09:39.734305
365,23,86,4346,2024-02-01 18:09:39.734305
366,27,151,6325,2024-02-01 18:09:39.734305
367,28,197,4886,2024-02-01 18:09:39.734305
368,10,81,2362,2024-02-02 18:09:39.734305
369,48,141,1823,2024-02-03 18:09:39.734305
370,67,33,3124,2024-02-03 18:09:39.734305
371,91,3,8380,2024-02-03 18:09:39.734305
372,75,148,9600,2024-02-03 18:09:39.734305
373,26,40,9209,2024-02-03 18:09:39.734305
374,79,29,2670,2024-02-03 18:09:39.734305
375,26,134,952,2024-02-03 18:09:39.734305
376,39,133,2449,2024-02-03 18:09:39.734305
377,56,97,5481,2024-02-04 18:09:39.734305
378,54,66,189,2024-02-04 18:09:39.734305
379,62,115,5865,2024-02-04 18:09:39.734305
380,88,33,8958,2024-02-04 18:09:39.734305
381,50,135,520,2024-02-04 18:09:39.734305
382,85,147,4313,2024-02-05 18:09:39.734305
383,27,32,1802,2024-02-05 18:09:39.734305
384,8,85,2506,2024-02-05 18:09:39.734305
385,62,118,4505,2024-02-05 18:09:39.734305
386,91,184,7276,2024-02-05 18:09:39.734305
387,54,193,139,2024-02-05 18:09:39.734305
388,20,2,7002,2024-02-05 18:09:39.734305
389,90,128,6951,2024-02-06 18:09:39.734305
390,76,89,1104,2024-02-06 18:09:39.734305
391,24,154,2431,2024-02-06 18:09:39.734305
392,28,131,8600,2024-02-06 18:09:39.734305
393,59,163,5957,2024-02-08 18:09:39.734305
394,26,125,8302,2024-02-08 18:09:39.734305
395,83,137,8685,2024-02-08 18:09:39.734305
396,28,15,7642,2024-02-08 18:09:39.734305
397,15,152,5649,2024-02-08 18:09:39.734305
398,3,183,7376,2024-02-08 18:09:39.734305
399,42,96,3227,2024-02-08 18:09:39.734305
400,18,52,4847,2024-02-08 18:09:39.734305
401,21,157,2710,2024-02-08 18:09:39.734305
402,97,18,1939,2024-02-08 18:09:39.734305
403,40,166,2860,2024-02-08 18:09:39.734305
404,52,145,4635,2024-02-08 18:09:39.734305
405,79,186,3415,2024-02-09 18:09:39.734305
406,55,103,5002,2024-02-09 18:09:39.734305
407,58,104,6696,2024-02-09 18:09:39.734305
408,75,106,1638,2024-02-09 18:09:39.734305
409,7,141,6648,2024-02-09 18:09:39.734305
410,9,155,6487,2024-02-09 18:09:39.734305
411,62,144,9568,2024-02-09 18:09:39.734305
412,14,122,4463,2024-02-09 18:09:39.734305
413,29,27,2804,2024-02-10 18:09:39.734305
414,86,138,1595,2024-02-10 18:09:39.734305
415,37,103,2241,2024-02-10 18:09:39.734305
416,44,138,9768,2024-02-10 18:09:39.734305
417,54,183,5569,2024-02-10 18:09:39.734305
418,1,135,4762,2024-02-10 18:09:39.734305
419,9,124,6539,2024-02-11 18:09:39.734305
420,14,154,7223,2024-02-11 18:09:39.734305
421,47,153,7182,2024-02-11 18:09:39.734305
422,6,33,9862,2024-02-11 18:09:39.734305
423,89,77,1157,2024-02-11 18:09:39.734305
424,67,122,5194,2024-02-11 18:09:39.734305
425,61,110,9322,2024-02-11 18:09:39.734305
426,27,132,9381,2024-02-11 18:09:39.734305
427,70,147,558,2024-02-11 18:09:39.734305
428,53,97,8379,2024-02-12 18:09:39.734305
429,67,141,2656,2024-02-12 18:09:39.734305
430,39,22,9665,2024-02-12 18:09:39.734305
431,27,132,8066,2024-02-12 18:09:39.734305
432,88,122,9591,2024-02-12 18:09:39.734305
433,7,65,5087,2024-02-12 18:09:39.734305
434,14,94,9925,2024-02-12 18:09:39.734305
435,100,133,9709,2024-02-12 18:09:39.734305
436,75,135,9714,2024-02-12 18:09:39.734305
437,28,28,4381,2024-02-13 18:09:39.734305
438,93,140,584,2024-02-13 18:09:39.734305
439,54,158,8410,2024-02-13 18:09:39.734305
440,38,27,6039,2024-02-13 18:09:39.734305
441,23,124,2977,2024-02-13 18:09:39.734305
442,6,129,4462,2024-02-13 18:09:39.734305
443,70,46,241,2024-02-13 18:09:39.734305
444,83,181,6407,2024-02-13 18:09:39.734305
445,13,24,8292,2024-02-14 18:09:39.734305
446,32,51,9622,2024-02-14 18:09:39.734305
447,6,37,1881,2024-02-14 18:09:39.734305
448,60,89,123,2024-02-14 18:09:39.734305
449,66,172,6259,2024-02-14 18:09:39.734305
450,21,109,7949,2024-02-15 18:09:39.734305
451,19,48,5404,2024-02-15 18:09:39.734305
452,74,81,8879,2024-02-15 18:09:39.734305
453,42,140,2351,2024-02-15 18:09:39.734305
454,91,149,2047,2024-02-15 18:09:39.734305
455,22,40,6871,2024-02-15 18:09:39.734305
456,88,144,3442,2024-02-15 18:09:39.734305
457,78,129,4402,2024-02-16 18:09:39.734305
458,36,149,7593,2024-02-16 18:09:39.734305
459,17,175,9573,2024-02-16 18:09:39.734305
460,87,59,9120,2024-02-17 18:09:39.734305
461,26,159,4846,2024-02-17 18:09:39.734305
462,60,159,8306,2024-02-17 18:09:39.734305
463,91,20,2179,2024-02-17 18:09:39.734305
464,82,80,1662,2024-02-17 18:09:39.734305
465,85,82,5528,2024-02-18 18:09:39.734305
466,43,161,8867,2024-02-18 18:09:39.734305
467,15,90,5677,2024-02-18 18:09:39.734305
468,6,154,9976,2024-02-18 18:09:39.734305
469,75,154,9037,2024-02-18 18:09:39.734305
470,100,133,9824,2024-02-19 18:09:39.734305
471,97,7,8626,2024-02-19 18:09:39.734305
472,11,17,7071,2024-02-19 18:09:39.734305
473,40,196,8021,2024-02-19 18:09:39.734305
474,70,132,7308,2024-02-19 18:09:39.734305
475,83,12,4598,2024-02-19 18:09:39.734305
476,3,79,5385,2024-02-20 18:09:39.734305
477,28,198,4362,2024-02-20 18:09:39.734305
478,17,157,2774,2024-02-20 18:09:39.734305
479,56,122,4955,2024-02-20 18:09:39.734305
480,68,92,5959,2024-02-20 18:09:39.734305
481,69,154,6196,2024-02-20 18:09:39.734305
482,72,30,595,2024-02-20 18:09:39.734305
483,65,166,4012,2024-02-20 18:09:39.734305
484,20,188,6690,2024-02-20 18:09:39.734305
485,24,122,8509,2024-02-21 18:09:39.734305
486,13,14,9017,2024-02-21 18:09:39.734305
487,87,74,1446,2024-02-21 18:09:39.734305
488,16,151,5859,2024-02-21 18:09:39.734305
489,11,4,3364,2024-02-21 18:09:39.734305
490,98,83,8928,2024-02-21 18:09:39.734305
491,7,178,1816,2024-02-21 18:09:39.734305
492,65,161,8470,2024-02-21 18:09:39.734305
493,33,134,6203,2024-02-21 18:09:39.734305
494,51,31,2370,2024-02-22 18:09:39.734305
495,2,78,660,2024-02-22 18:09:39.734305
496,77,149,7059,2024-02-22 18:09:39.734305
497,62,140,8850,2024-02-22 18:09:39.734305
498,27,122,412,2024-02-22 18:09:39.734305
499,47,63,8735,2024-02-22 18:09:39.734305
500,87,197,3557,2024-02-22 18:09:39.734305
501,40,128,4921,2024-02-22 18:09:39.734305
502,84,169,6784,2024-02-23 18:09:39.734305
503,31,138,8090,2024-02-23 18:09:39.734305
504,24,138,7774,2024-02-23 18:09:39.734305
505,32,185,4510,2024-02-23 18:09:39.734305
506,26,5,699,2024-02-23 18:09:39.734305
507,46,146,4386,2024-02-23 18:09:39.734305
508,48,145,1219,2024-02-23 18:09:39.734305
509,80,117,6653,2024-02-23 18:09:39.734305
510,37,94,9975,2024-02-24 18:09:39.734305
511,52,143,1725,2024-02-24 18:09:39.734305
512,64,118,6002,2024-02-24 18:09:39.734305
513,91,178,3634,2024-02-24 18:09:39.734305
514,88,162,9697,2024-02-24 18:09:39.734305
515,90,152,9219,2024-02-24 18:09:39.734305
516,14,115,4490,2024-02-24 18:09:39.734305
517,29,190,3779,2024-02-25 18:09:39.734305
518,32,46,1443,2024-02-25 18:09:39.734305
519,88,182,8537,2024-02-25 18:09:39.734305
520,69,156,8452,2024-02-25 18:09:39.734305
521,46,65,2456,2024-02-25 18:09:39.734305
522,49,20,7741,2024-02-25 18:09:39.734305
523,36,122,6260,2024-02-26 18:09:39.734305
524,98,106,7342,2024-02-26 18:09:39.734305
525,75,146,9126,2024-02-26 18:09:39.734305
526,82,152,691,2024-02-26 18:09:39.734305
527,58,97,6083,2024-02-26 18:09:39.734305
528,14,142,2154,2024-02-26 18:09:39.734305
529,69,199,6970,2024-02-26 18:09:39.734305
530,1,195,8618,2024-02-26 18:09:39.734305
531,19,200,7916,2024-02-26 18:09:39.734305
532,50,99,1604,2024-02-26 18:09:39.734305
533,2,142,7634,2024-02-27 18:09:39.734305
534,58,128,7930,2024-02-27 18:09:39.734305
535,93,153,9216,2024-02-27 18:09:39.734305
536,55,83,1056,2024-02-27 18:09:39.734305
537,82,200,1449,2024-02-27 18:09:39.734305
538,10,160,1069,2024-02-27 18:09:39.734305
539,27,126,7310,2024-02-27 18:09:39.734305
540,44,131,5517,2024-02-28 18:09:39.734305
541,15,97,174,2024-02-28 18:09:39.734305
542,97,122,1022,2024-02-28 18:09:39.734305
543,65,195,1456,2024-02-28 18:09:39.734305
544,19,51,2327,2024-02-28 18:09:39.734305
545,23,122,1494,2024-02-28 18:09:39.734305
546,31,73,3934,2024-02-28 18:09:39.734305
547,9,8,6581,2024-02-28 18:09:39.734305
548,35,85,3579,2024-02-29 18:09:39.734305
549,23,155,4401,2024-02-29 18:09:39.734305
550,100,8,6351,2024-02-29 18:09:39.734305
551,39,2,4965,2024-02-29 18:09:39.734305
552,37,123,1466,2024-02-29 18:09:39.734305
553,46,50,8149,2024-02-29 18:09:39.734305
554,41,125,763,2024-02-29 18:09:39.734305
555,74,121,8045,2024-02-29 18:09:39.734305
556,27,34,8968,2024-03-01 18:09:39.734305
557,45,170,6503,2024-03-01 18:09:39.734305
558,28,145,5112,2024-03-01 18:09:39.734305
559,70,162,9306,2024-03-01 18:09:39.734305
560,67,5,2837,2024-03-01 18:09:39.734305
